unique_id,timestamp,country,y_pred,y_proba,target_date,model_version,runtime
f2ea8c26-6278-4b3a-a2b1-63f4be1a28d8,1618829632.601801,all,[183590.62984],None,2018-01-05,0.1,000:00:24
86b975b2-4b16-4ad8-8471-4353ff5dbe56,1618841676.2203689,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:00:21
e60ea70b-4dde-4be2-8c6e-e5426d4b37cd,1618842232.4692779,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:00:21
91251a4d-2b5e-4c73-9ceb-a915a7867b91,1618842326.4563358,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:00:23
f715f2f0-82cb-421d-be36-3de0ae77d0ad,1618842471.169877,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:00:22
180b4e73-3edd-46cd-8a43-6ea421616978,1618842727.7132921,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:00:22
e35eb788-aa6c-49f9-b92e-d2ef3a02e0e6,1618843342.676016,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:00:23
c6188af8-078c-44e0-a034-c51abd0b60e7,1618843699.241718,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:01:49
380bda9d-9f5a-4929-a884-7951f15f7ea3,1618843738.226031,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:01:41
2964c232-e33a-4fda-aaf6-b2da935a89e1,1618843763.135923,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:01:11
fb8ac5ab-6621-4973-87c1-90ea297af3d5,1618843766.687005,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:00:59
79b95084-1293-46d9-a603-1eba1524b619,1618843958.6881092,united_kingdom,[105871.9878],None,"{'previous_7': {123: 34439.91}, 'previous_14': {123: 126265.44}, 'previous_28': {123: 199898.771}, 'previous_70': {123: 388860.158}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 63.5}, 'recent_views': {123: 5659.633333333333}}",2018-04-01,0.1,000:00:23
febf0116-91a3-4ad1-9958-ddb2742e477c,1618847176.195213,all,[117270.77932],None,"{'previous_7': {123: 35437.59}, 'previous_14': {123: 132315.13}, 'previous_28': {123: 244756.41100000002}, 'previous_70': {123: 456394.10800000007}, 'previous_year': {123: 0.0}, 'recent_invoices': {123: 68.66666666666667}, 'recent_views': {123: 6321.366666666667}}",2018-04-01,0.1,000:00:24
